Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Zdhhc15,48.005768049502684,5.339790257373824,1.44058486480836,9.30829535576053e-5,5.663304186667413e-4,TRUE
Ear-ps2,43.92806957890629,5.335917294966162,2.9036174565546466,0.001335086375837183,0.005454877509468789,TRUE
Agtr1a,34.94373673023621,5.315675053081447,2.424674955487895,2.4172850331642437e-4,0.001294740924973994,TRUE
Gm12439,14.552880060125698,5.308674984975837,2.5837276278396457,4.070588523459287e-4,0.0020201211168478545,TRUE
Foxe1,10.490898547131831,5.300639517990316,4.2625924404434805,0.002090939842034009,0.007931930369515925,TRUE
Gabbr2,17.317659119725725,5.295914790393351,2.5550613158502835,3.825615256913094e-4,0.0019157847609521993,TRUE
Pm20d2,19.740585079151703,5.267936443414319,2.282614366846065,1.370112199312905e-4,7.902604125406522e-4,TRUE
Gm5884,13.730354233775424,5.251280094626687,2.4320935835249875,2.7357012144827624e-4,0.0014366896611966737,TRUE
Dmrtc1a,17.28912980965775,5.25109108609454,2.6824487953091727,5.686970473355359e-4,0.0026744693054354496,TRUE
Cxcr5,50.49827165757514,5.2333670654129065,2.9045699862698413,7.928811166045048e-4,0.003539091319317911,TRUE
Itih5,112.0827074881576,5.2119328871701764,1.295879679352083,8.917208219705813e-6,7.47488947813377e-5,TRUE
Gng4,29.6942008849611,5.211218887910654,2.61410411484188,5.053580260630638e-4,0.002422631411260851,TRUE
Cacnb2,28.7287963730729,5.18888187274052,2.3068769073361444,1.899639705961578e-4,0.0010492859663401508,TRUE
Rtn1,50.944948930969034,5.1847463375650165,1.42984493420072,1.2609771529116138e-4,7.345553390753984e-4,TRUE
