Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Dstn,10520.348554366408,0.2606303476537853,0.3351055444407745,0.7777559994977888,0.43671287195320835,0.5605453495901427,FALSE
Gm32282,21.46458863411318,0.2603544547611222,1.081680261770812,0.24069446763768948,0.8097919271211461,0.8728734345903583,FALSE
Polr3e,497.95078551243967,0.26013380519381774,0.3443568800379825,0.7554192184721996,0.44999748547043883,0.5733747909053409,FALSE
Disp2,106.85580361994155,0.2600365965160052,0.47350201589467267,0.5491773800047529,0.582883726116308,0.6918413135810111,FALSE
Jdp2,596.0770841656896,0.25959337158830165,0.2734400384448753,0.9493612313130029,0.3424369210340749,0.46828255015674836,FALSE
Igkj4,93.8691255314477,0.25957341815521534,1.9362125371745282,0.13406246120790286,0.8933531832409399,0.9315715012405523,FALSE
Gm47483,5.036681355089246,0.2593057489474942,1.6825828200746848,0.15411172980833382,0.8775216397221325,0.9208825426633924,FALSE
Wwp2,1276.328973545323,0.25913437107042486,0.30804189401799714,0.8412309367740906,0.40021857237369446,0.5262375384603032,FALSE
Ddias,60.41910319378936,0.2590036426430996,0.7144957023665088,0.36249853118114445,0.7169795209524461,0.8022540805649435,FALSE
Ptges3-ps,35.43022084662949,0.258980458442664,0.5458399253314875,0.4744622854134125,0.6351702862183063,0.7358796360465945,FALSE
Il12rb1,21.261049876032732,0.2589764755615541,0.9513852696279094,0.2722098857625164,0.7854606410139744,0.8547047897398554,FALSE
Cox8b,31.887232412893077,0.2589679308998181,1.5550524581710854,0.16653324428964486,0.867737323269469,0.913793859137961,FALSE
Pitpnb,1755.7903609270672,0.25890653183261575,0.20681982568311266,1.2518458081930204,0.2106260546201019,0.3257201151588934,FALSE
Nelfcd,788.2133399040255,0.25879091883811234,0.3604463529707363,0.7179734701300277,0.472773644985453,0.5943536869265544,FALSE
Slc26a10,32.38389331084896,0.2586942339430771,0.7433817953183056,0.34799646100064624,0.7278428413011773,0.8103700358336252,FALSE
